"id","title","publisher","publicationDate","datePrecision","dateNote","language","coverageType","authors","sourceUrl","clippingUrl"
"GN-AAFC509162617C","‘एमसीसीआयए हेल्पलाइन’चा देशव्यापी विस्तार; उद्योजकांना कोणत्या विषयांवर सर्वाधिक मार्गदर्शनाची गरज?","Loksatta","2026-09-02","day","Publication date established from source.","Marathi","Quotation","","https://www.loksatta.com/pune/mccia-msme-helpline-nationwide-expansion-pune-print-news-rak-94-6112667/",""
"DG-R-65FEE5F723F4","Higher freight cost, insurance premium hit exporters","The Times of India","2026-03-15","day","Publication date established from source.","English","Quotation","","https://timesofindia.indiatimes.com/city/pune/higher-freight-cost-insurance-premium-hit-exporters/articleshow/129580833.cms",""
"DG-R-4B164EB65199","सरकारचं पुण्याला मोठं गिफ्ट! पुणे- अहिल्यानगर- छत्रपती संभाजीनगर संरक्षण कॉरिडॉरसह ‘जीसीसी हब’","Loksatta","2026-01-04","day","Publication date established from source.","Marathi","Quotation","","https://www.loksatta.com/pune/defense-corridor-will-developed-for-pune-will-be-made-a-hub-for-global-competence-centers-dvr-99-5616273/",""
"DG-R-7AA670B36C62","GST rate rationalisation boosts auto sales ahead of festive season","The Times of India","2025-09-06","day","Publication date established from source.","English","Quotation","","https://timesofindia.indiatimes.com/city/pune/gst-rate-rationalisation-boosts-auto-sales-ahead-of-festive-season/articleshow/123725570.cms",""
"DG-R-0BAE3F6E207D","जीएसटी स्लैब में बदलाव से मांग और निवेश को मिलेगा बढ़ावा : प्रशांत गिरबाने","Janta Se Rishta","2025-09-05","day","Publication date established from source.","Hindi","Interview","","https://jantaserishta.com/others/changes-in-gst-slabs-will-boost-demand-and-investment-prashant-girbane-4249434",""
"PG0260","Pune International Business Summit 2025 By MCCIA Kicks Off, Showcasing Global Trade and Investment Opportunities","Pune Pulse","2025-02-24","day","Publication date established from source.","English","Mention","","https://www.mypunepulse.com/pune-international-business-summit-2025-by-mccia-kicks-off-showcasing-global-trade-and-investment-opportunities/",""
"PG0286","Growth in MSME, emergence as defence manufacturing hub: Good tidings for Pune Inc in 2024","The Indian Express","2024-12-30","day","Publication date established from source.","English","Authored article","Prashant Girbane","https://indianexpress.com/article/cities/pune/growth-msme-defence-manufacturing-hub-pune-inc-9751812/","/clipping-PG0286.webp"
"PG0557","‘Equity’ buzzword at MCCIA Women’s Day event","The Indian Express","2023-03-11","day","Publication date established from source.","English","Mention","","https://indianexpress.com/article/cities/pune/equity-buzzword-at-mccia-womens-day-event-8490043/",""
"DG-R-B707082C4FB0","क्रिकेटपटू अजिंक्य रहाणे करणार कृषी तंत्रज्ञान ‘स्टार्टअप’ मध्ये गुंतवणूक","Loksatta","2022-11-08","day","Publication date established from source.","Marathi","Quotation","","https://www.loksatta.com/pune/cricketer-ajinkya-rahane-to-invest-in-agro-technology-startups-pune-print-news-tmb-01-3242799/",""
"PG1086","निर्यातीत पुणे अग्रेसर","Maharashtra Times","2021-11-23","day","Publication date established from source.","Marathi","Quotation","","https://marathi.indiatimes.com/maharashtra/pune-news/pune-is-a-leader-in-exports/articleshow/87862680.cms",""
